Altium Designer Pick and Place Locations
C:\Users\kevin\OneDrive\Desktop\PCB\Boards\Brd_3_PCB_Golden_Arduino\Project Outputs for Brd_3_PCB_Golden_Arduino\Pick Place for Brd_3_Golden_Arduino_Layout.csv

========================================================================================================================
File Design Information:

Date:       03/03/22
Time:       03:34
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C7","22uF","TopLayer","0805_Passive_Capaciitor","2397.000","1042.000","270","MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 22UF 25V 0805 ROHS"
"U1","CH340G","TopLayer","USB_to_serial","530.000","1930.000","90","Transceiver USB 2.0 2Mbps SOP-16_150mil USB ICs RoHS"
"FB1","FB_10uH_0603","TopLayer","0603_PASSIVE_Capacitor","1644.000","1349.000","90","10 uH, 30 Q, 1.85 Ohm Series Resistance, 17MHz Self Resonant Frequency,Inductor , SMD 0603, 3 Amps rated current"
"Y2","X322516MLB4SI","TopLayer","Crystal_resonator","2244.965","1446.006","90","±10ppm 16000000Hz -40?~85? ?????? 60O 9pF SMD3225-4P Crystals ROHS"
"Y1","X322512MSB4SI","TopLayer","Crystal_resonator","1010.006","1933.035","0","SMD Crystal Resonators 12MHz ±10ppm SMD-3225_4P RoHS"
"U2","ATMEGA328P-ANR","TopLayer","ATMega328P","1931.929","1300.000","0","AVR AVR® ATmega Microcontroller IC 8-Bit 20MHz 32KB (16K x 16) FLASH 32-TQFP (7x7)"
"TP5","D-","TopLayer","TP10x_Probe","735.000","170.000","0","Test Point 300 mil centers"
"TP3","5V_TP","TopLayer","TP10x_Floating","153.000","1930.000","270","Test Point 300 mil centers"
"TP2","3.3V_TP","TopLayer","TP10x_Probe","270.000","365.000","0","Test Point 300 mil centers"
"TP1","D+","TopLayer","TP10x_Probe","745.000","365.000","0","Test Point 300 mil centers"
"SW2","TL3305AF160QG","TopLayer","Switch_JLC","2590.000","750.000","270","Tactile Switch SPST-NO Top Actuated Surface Mount"
"SW1","PREC003SAAN-RC","TopLayer","3_PIN_100mil","120.000","1270.000","270","Connector Header Through Hole 3 position 0.100" (2.54mm)"
"R8","1k","TopLayer","0402_Passive_Resistor","1515.000","1955.000","0","1 kOhms chip resistor SURFACE MOUNT 1KOHMS ±1% 1/16W 0402 ROHS"
"R7","10k","TopLayer","0402_Passive_Resistor","2277.000","792.000","180","CHIP RESISTOR - SURFACE MOUNT 10KOHMS ±1% 1/16W 0402 ROHS"
"R6","1M","TopLayer","1206_Passive_Resitor","2400.000","1559.000","90","CHIP RESISTOR - SURFACE MOUNT 1MOHMS ±1% 1/4W 1206 ROHS"
"R5","1M","TopLayer","1206_Passive_Resitor","1243.000","1772.000","0","CHIP RESISTOR - SURFACE MOUNT 1MOHMS ±1% 1/4W 1206 ROHS"
"R4","1k","TopLayer","0402_Passive_Resistor","1120.000","1145.000","90","1 kOhms chip resistor SURFACE MOUNT 1KOHMS ±1% 1/16W 0402 ROHS"
"R3","500m","TopLayer","0603_PASSIVE_Resistor","295.000","1194.000","0","CHIP RESISTOR - SURFACE MOUNT 0.5OHMS ±1% 1/10W 0603 ROHS"
"R2","1k","TopLayer","0402_Passive_Resistor","1100.000","1700.000","0","1 kOhms chip resistor SURFACE MOUNT 1KOHMS ±1% 1/16W 0402 ROHS"
"R1","1k","TopLayer","0402_Passive_Resistor","1100.000","1600.000","0","1 kOhms chip resistor SURFACE MOUNT 1KOHMS ±1% 1/16W 0402 ROHS"
"PS1","AMS1117-3.3","TopLayer","LDO","595.000","1285.000","270","LOW DROPOUT REGULATORS(LDO) POSITIVE FIXED 1.3V @ 800MA 15V 3.3V 1A SOT-223 ROHS"
